Country,Year,TFP_norm,Source
CAN,2012,84.9045094,OECD
CAN,2013,88.91327119,OECD
CAN,2014,94.52364928,OECD
CAN,2015,100,OECD
CAN,2016,99.87679577,OECD
CAN,2017,109.0404471,OECD
CAN,2018,116.5282053,OECD
CAN,2019,117.9109351,OECD
CAN,2020,125.5929359,OECD
CAN,2021,130.2276124,OECD
DEU,2014,95.89089657,OECD
DEU,2015,100,OECD
DEU,2016,99.64790012,OECD
DEU,2017,102.2817612,OECD
DEU,2018,105.1041181,OECD
DEU,2019,111.4925482,OECD
DEU,2020,116.775035,OECD
DEU,2021,124.2190371,OECD
DEU,2022,121.7866671,OECD
DEU,2023,129.1058973,OECD
FRA,2014,100.2593934,OECD
FRA,2015,100,OECD
FRA,2016,98.03102603,OECD
FRA,2017,91.74668368,OECD
FRA,2018,97.65019123,OECD
FRA,2019,93.91766257,OECD
FRA,2020,97.70432062,OECD
FRA,2021,100.5625542,OECD
FRA,2022,101.8566813,OECD
FRA,2023,83.90764305,OECD
GBR,2013,96.59059834,OECD
GBR,2014,99.7398128,OECD
GBR,2015,100,OECD
GBR,2016,105.2217531,OECD
GBR,2017,116.7576146,OECD
GBR,2018,112.9221212,OECD
GBR,2019,112.7394518,OECD
GBR,2020,115.057056,OECD
GBR,2021,121.4704086,OECD
GBR,2022,134.0086961,OECD
ITA,2014,102.1780233,OECD
ITA,2015,100,OECD
ITA,2016,97.69538744,OECD
ITA,2017,95.71127727,OECD
ITA,2018,98.25388041,OECD
ITA,2019,98.19184731,OECD
ITA,2020,104.6532627,OECD
ITA,2021,95.48953499,OECD
ITA,2022,112.4670224,OECD
ITA,2023,136.108199,OECD
USA,2012,103.2273973,BLS
USA,2013,98.1582117,BLS
USA,2014,100.0578523,BLS
USA,2015,100,BLS
USA,2016,98.12122419,BLS
USA,2017,94.83976821,BLS
USA,2018,91.26715414,BLS
USA,2019,91.94715528,BLS
USA,2020,91.07083582,BLS
USA,2021,93.12032321,BLS
USA,2022,89.98966247,BLS
USA,2023,88.63155698,BLS
