,Year,TFP,TFP_norm
4410,1987,99.457,94.32478827
11700,1988,98.604,93.51580505
11738,1988,-0.9,-0.853557914
18990,1989,97.834,92.78553883
19028,1989,-0.8,-0.758718146
26280,1990,97.428,92.40048937
26318,1990,-0.4,-0.379359073
33570,1991,99.073,93.96060356
33608,1991,1.7,1.61227606
40860,1992,99.5,94.36556937
40898,1992,0.4,0.379359073
48150,1993,98.567,93.48071433
48188,1993,-0.9,-0.853557914
55440,1994,96.7,91.71005586
55478,1994,-1.9,-1.801955596
62730,1995,97.546,92.5124003
62768,1995,0.9,0.853557914
70020,1996,97.775,92.72958337
70058,1996,0.2,0.189679536
77310,1997,98.605,93.51675345
77348,1997,0.8,0.758718146
84600,1998,100.424,95.24188883
84638,1998,1.8,1.707115828
91890,1999,102.624,97.32836373
91928,1999,2.2,2.086474901
99180,2000,105.903,100.4381597
99218,2000,3.2,3.034872583
106470,2001,107.212,101.6796123
106508,2001,1.2,1.138077219
113760,2002,104.404,99.0165116
113798,2002,-2.6,-2.465833974
121050,2003,100.819,95.61650591
121088,2003,-3.4,-3.224552119
128340,2004,100.101,94.93555638
128378,2004,-0.7,-0.663878377
135630,2005,103.778,98.42281465
135668,2005,3.7,3.509071424
142920,2006,104.444,99.05444751
142958,2006,0.6,0.569038609
150210,2007,99.712,94.56662968
150248,2007,-4.5,-4.26778957
157500,2008,91.226,86.51852695
157538,2008,-8.5,-8.061380298
164790,2009,106.527,101.0299599
164828,2009,16.8,15.93308106
172080,2010,103.407,98.07095911
172118,2010,-2.9,-2.750353278
179370,2011,102.967,97.65366413
179408,2011,-0.4,-0.379359073
186660,2012,108.844,103.2273973
186698,2012,5.7,5.405866788
193950,2013,103.499,98.1582117
193988,2013,-4.9,-4.647148642
201240,2014,105.502,100.0578523
201278,2014,1.9,1.801955596
208530,2015,105.441,100
208568,2015,-0.1,-0.094839768
215820,2016,103.46,98.12122419
215858,2016,-1.9,-1.801955596
223110,2017,100,94.83976821
223148,2017,-3.3,-3.129712351
230400,2018,96.233,91.26715414
230438,2018,-3.8,-3.603911192
237690,2019,96.95,91.94715528
237728,2019,0.7,0.663878377
244980,2020,96.026,91.07083582
245018,2020,-1,-0.948397682
252270,2021,98.187,93.12032321
252308,2021,2.3,2.181314669
259560,2022,94.886,89.98966247
259598,2022,-3.4,-3.224552119
266850,2023,93.454,88.63155698
266888,2023,-1.5,-1.422596523
