Country,Year,TFP_norm,Source
ITA,2023,136.108199,OECD
ITA,2022,112.4670224,OECD
ITA,2021,95.48953499,OECD
ITA,2020,104.6532627,OECD
ITA,2019,98.19184731,OECD
ITA,2018,98.25388041,OECD
ITA,2017,95.71127727,OECD
ITA,2016,97.69538744,OECD
ITA,2015,100.0,OECD
ITA,2014,102.1780233,OECD
DEU,2023,111.7669952,OECD
DEU,2022,112.7045458,OECD
DEU,2021,118.4513084,OECD
DEU,2020,112.1568579,OECD
DEU,2019,106.5172297,OECD
DEU,2018,100.8535442,OECD
DEU,2017,104.4445445,OECD
DEU,2016,97.53391035,OECD
DEU,2015,100.0,OECD
DEU,2014,98.1113259,OECD
ITA,2023,93.30390441,OECD
ITA,2022,101.0120352,OECD
ITA,2021,99.31866245,OECD
ITA,2020,104.6532627,OECD
ITA,2019,99.89164311,OECD
ITA,2018,100.1143161,OECD
ITA,2017,98.11240539,OECD
ITA,2016,96.62354484,OECD
ITA,2015,96.89208698,OECD
ITA,2014,98.76729688,OECD
USA,2024,97.49461311,OECD
USA,2023,95.5691119,OECD
USA,2022,96.88944889,OECD
USA,2021,99.98436766,OECD
USA,2020,95.60228548,OECD
USA,2019,95.08937328,OECD
USA,2018,92.51552826,OECD
USA,2017,96.13727521,OECD
USA,2016,99.26987683,OECD
USA,2015,100.0,OECD
GBR,2022,134.0086961,OECD
GBR,2021,121.4704086,OECD
GBR,2020,115.057056,OECD
GBR,2019,112.7394518,OECD
GBR,2018,112.9221212,OECD
GBR,2017,116.7576146,OECD
GBR,2016,105.2217531,OECD
GBR,2015,100.0,OECD
GBR,2014,99.7398128,OECD
GBR,2013,96.59059834,OECD
GBR,2022,134.0093651,OECD
GBR,2021,134.0142318,OECD
GBR,2020,135.5482579,OECD
GBR,2019,137.7616364,OECD
GBR,2018,142.2117206,OECD
GBR,2017,147.9938945,OECD
GBR,2016,135.1916716,OECD
GBR,2015,130.9005091,OECD
GBR,2014,131.2091408,OECD
GBR,2013,132.5868317,OECD
GBR,2022,113.7508018,OECD
GBR,2021,113.7549327,OECD
GBR,2020,115.057056,OECD
GBR,2019,116.9358323,OECD
GBR,2018,120.7131851,OECD
GBR,2017,125.6212513,OECD
GBR,2016,114.7543757,OECD
GBR,2015,111.1119199,OECD
GBR,2014,111.373895,OECD
GBR,2013,112.5433167,OECD
DEU,2023,124.0000637,OECD
DEU,2022,116.9702918,OECD
DEU,2021,119.3064673,OECD
DEU,2020,112.1568579,OECD
DEU,2019,107.083281,OECD
DEU,2018,100.9474982,OECD
DEU,2017,98.23675895,OECD
DEU,2016,95.70706082,OECD
DEU,2015,96.04523598,OECD
DEU,2014,92.09863789,OECD
USA,2024,131.4912269,OECD
USA,2023,122.2861859,OECD
USA,2022,117.9795543,OECD
USA,2021,114.3789245,OECD
USA,2020,105.7995867,OECD
USA,2019,103.1488952,OECD
USA,2018,98.99084333,OECD
USA,2017,96.13727521,OECD
USA,2016,94.962104,OECD
USA,2015,90.59565622,OECD
ITA,2023,93.30390441,OECD
ITA,2022,101.0120352,OECD
ITA,2021,99.31866245,OECD
ITA,2020,104.6532627,OECD
ITA,2019,99.89164311,OECD
ITA,2018,100.1143161,OECD
ITA,2017,98.11240539,OECD
ITA,2016,96.62354484,OECD
ITA,2015,96.89208698,OECD
ITA,2014,98.76729688,OECD
CAN,2021,130.2276124,OECD
CAN,2020,125.5929359,OECD
CAN,2019,117.9109351,OECD
CAN,2018,116.5282053,OECD
CAN,2017,109.0404471,OECD
CAN,2016,99.87679577,OECD
CAN,2015,100.0,OECD
CAN,2014,94.52364928,OECD
CAN,2013,88.91327119,OECD
CAN,2012,84.9045094,OECD
CAN,2024,119.0908151,OECD
CAN,2023,125.5493538,OECD
CAN,2022,122.7497015,OECD
CAN,2021,122.7398385,OECD
CAN,2020,122.5166662,OECD
CAN,2019,114.4469833,OECD
CAN,2018,115.0128562,OECD
CAN,2017,109.0404471,OECD
CAN,2016,99.18688611,OECD
CAN,2015,97.19790351,OECD
CAN,2024,122.0810653,OECD
CAN,2023,128.7017711,OECD
CAN,2022,125.8318227,OECD
CAN,2021,125.8217114,OECD
CAN,2020,125.5929359,OECD
CAN,2019,117.3206316,OECD
CAN,2018,117.9007131,OECD
CAN,2017,111.7783427,OECD
CAN,2016,101.6773683,OECD
CAN,2015,99.63844462,OECD
DEU,2023,111.7669952,OECD
DEU,2022,112.7045458,OECD
DEU,2021,118.4513084,OECD
DEU,2020,112.1568579,OECD
DEU,2019,106.5172297,OECD
DEU,2018,100.8535442,OECD
DEU,2017,104.4445445,OECD
DEU,2016,97.53391035,OECD
DEU,2015,100.0,OECD
DEU,2014,98.1113259,OECD
USA,2024,107.8937572,OECD
USA,2023,105.7628747,OECD
USA,2022,107.2240439,OECD
USA,2021,110.6490784,OECD
USA,2020,105.7995867,OECD
USA,2019,105.2319654,OECD
USA,2018,102.3835843,OECD
USA,2017,106.3916405,OECD
USA,2016,109.8583773,OECD
USA,2015,110.6663781,OECD
FRA,2023,83.90764305,OECD
FRA,2022,101.8566813,OECD
FRA,2021,100.5625542,OECD
FRA,2020,97.70432062,OECD
FRA,2019,93.91766257,OECD
FRA,2018,97.65019123,OECD
FRA,2017,91.74668368,OECD
FRA,2016,98.03102603,OECD
FRA,2015,100.0,OECD
FRA,2014,100.2593934,OECD
FRA,2023,101.2995373,OECD
FRA,2022,104.2400049,OECD
FRA,2021,103.0180915,OECD
FRA,2020,97.70432062,OECD
FRA,2019,96.46546031,OECD
FRA,2018,95.27530766,OECD
FRA,2017,90.65425959,OECD
FRA,2016,89.7214592,OECD
FRA,2015,90.50145254,OECD
FRA,2014,91.77428627,OECD
FRA,2023,101.2995373,OECD
FRA,2022,104.2400049,OECD
FRA,2021,103.0180915,OECD
FRA,2020,97.70432062,OECD
FRA,2019,96.46546031,OECD
FRA,2018,95.27530766,OECD
FRA,2017,90.65425959,OECD
FRA,2016,89.7214592,OECD
FRA,2015,90.50145254,OECD
FRA,2014,91.77428627,OECD
USA,1987,94.32478827,BLS
USA,1988,93.51580505,BLS
USA,1988,-0.853557914,BLS
USA,1989,92.78553883,BLS
USA,1989,-0.758718146,BLS
USA,1990,92.40048937,BLS
USA,1990,-0.379359073,BLS
USA,1991,93.96060356,BLS
USA,1991,1.61227606,BLS
USA,1992,94.36556937,BLS
USA,1992,0.379359073,BLS
USA,1993,93.48071433,BLS
USA,1993,-0.853557914,BLS
USA,1994,91.71005586,BLS
USA,1994,-1.801955596,BLS
USA,1995,92.5124003,BLS
USA,1995,0.853557914,BLS
USA,1996,92.72958337,BLS
USA,1996,0.189679536,BLS
USA,1997,93.51675345,BLS
USA,1997,0.758718146,BLS
USA,1998,95.24188883,BLS
USA,1998,1.707115828,BLS
USA,1999,97.32836373,BLS
USA,1999,2.086474901,BLS
USA,2000,100.4381597,BLS
USA,2000,3.034872583,BLS
USA,2001,101.6796123,BLS
USA,2001,1.138077219,BLS
USA,2002,99.0165116,BLS
USA,2002,-2.465833974,BLS
USA,2003,95.61650591,BLS
USA,2003,-3.224552119,BLS
USA,2004,94.93555638,BLS
USA,2004,-0.663878377,BLS
USA,2005,98.42281465,BLS
USA,2005,3.509071424,BLS
USA,2006,99.05444751,BLS
USA,2006,0.569038609,BLS
USA,2007,94.56662968,BLS
USA,2007,-4.26778957,BLS
USA,2008,86.51852695,BLS
USA,2008,-8.061380298,BLS
USA,2009,101.0299599,BLS
USA,2009,15.93308106,BLS
USA,2010,98.07095911,BLS
USA,2010,-2.750353278,BLS
USA,2011,97.65366413,BLS
USA,2011,-0.379359073,BLS
USA,2012,103.2273973,BLS
USA,2012,5.405866788,BLS
USA,2013,98.1582117,BLS
USA,2013,-4.647148642,BLS
USA,2014,100.0578523,BLS
USA,2014,1.801955596,BLS
USA,2015,100.0,BLS
USA,2015,-0.094839768,BLS
USA,2016,98.12122419,BLS
USA,2016,-1.801955596,BLS
USA,2017,94.83976821,BLS
USA,2017,-3.129712351,BLS
USA,2018,91.26715414,BLS
USA,2018,-3.603911192,BLS
USA,2019,91.94715528,BLS
USA,2019,0.663878377,BLS
USA,2020,91.07083582,BLS
USA,2020,-0.948397682,BLS
USA,2021,93.12032321,BLS
USA,2021,2.181314669,BLS
USA,2022,89.98966247,BLS
USA,2022,-3.224552119,BLS
USA,2023,88.63155698,BLS
USA,2023,-1.422596523,BLS
